iter	RMSE
0	593.9294649
1	577.985564
2	563.1716034
3	549.0899984
4	536.0299499
5	523.8778662
6	512.508489
7	502.3288445
8	492.500513
9	483.0910335
10	474.5564166
11	466.3477758
12	458.6615523
13	450.7579671
14	443.5635346
15	436.821889
16	430.8805134
17	425.1854362
18	419.5189811
19	414.3038477
20	408.7682075
21	404.0757456
22	399.6120694
23	395.0958667
24	390.3997724
25	386.6058429
26	383.0147632
27	378.2613841
28	374.840304
29	371.8250762
30	367.3815489
31	362.9082828
32	360.3123185
33	357.5335093
34	354.0150296
35	351.6562272
36	347.7723893
37	345.0694192
38	342.0913846
39	339.5569282
40	336.9507949
41	334.9020789
42	333.3677409
43	330.6823519
44	327.8244758
45	326.13105
46	323.9195618
47	321.9243782
48	320.3277894
49	319.1409541
50	316.5320333
51	315.5337039
52	313.8676277
53	312.6514584
54	310.9565722
55	309.6926172
56	307.7500158
57	306.1980783
58	304.9794296
59	303.6366357
60	301.8521679
61	300.5941068
62	299.603299
63	298.3384914
64	297.3917697
65	296.7465261
66	295.2880003
67	294.1709532
68	293.6251671
69	292.5093233
70	291.95955
71	291.0244497
72	290.5685306
73	289.8109412
74	289.3811158
75	288.3758024
76	287.3909691
77	287.0259279
78	286.359834
79	285.6728069
80	285.0340302
81	284.5809622
82	284.2788071
83	283.7097534
84	283.1030306
85	282.387057
86	281.844596
87	281.1424988
88	280.6367671
89	280.1130177
90	279.5194002
91	279.2601854
92	278.7272834
93	278.394508
94	277.923996
95	277.4894125
96	277.0393535
97	276.7845382
98	276.3991283
99	276.2311799
100	275.9627946
101	275.7464663
102	275.3141505
103	274.9851682
104	274.7636925
105	274.4331092
106	274.1626815
107	273.9648162
108	273.8430405
109	273.5597675
110	273.3324336
111	273.1799172
112	272.7996757
113	272.6341575
114	272.4063039
115	272.1658043
116	271.9492823
117	271.663733
118	271.4845032
119	271.2076129
120	270.9450686
121	270.7482073
122	270.4804422
123	270.3237679
124	270.1172926
125	269.8527649
126	269.6556333
127	269.4958032
128	269.3613725
129	269.148039
130	269.0269484
131	268.8507659
132	268.7275013
133	268.6712293
134	268.5313528
135	268.3146948
136	268.2476013
137	268.1123542
138	268.0515522
139	267.9466259
140	267.7600005
141	267.6455031
142	267.5568072
143	267.4222578
144	267.3175084
145	267.2597253
146	267.2018686
147	267.1127527
148	267.0466485
149	266.9529842
150	266.8533232
151	266.7245208
152	266.6615505
153	266.6300752
154	266.5888434
155	266.418707
156	266.2532688
157	266.1824218
158	266.0178786
159	265.9381266
160	265.8122659
161	265.6672184
162	265.526988
163	265.4467818
164	265.3664026
165	265.3222952
166	265.2781264
167	265.1596698
168	265.1338096
169	265.0238073
170	264.8801542
171	264.7372927
172	264.6555006
173	264.6129674
174	264.5574804
175	264.5026993
176	264.4245263
177	264.298157
178	264.2488054
179	264.1935971
180	264.1566489
181	264.1309657
182	264.0712412
183	264.0064874
184	263.9632833
185	263.8868032
186	263.8541907
187	263.7565708
188	263.689639
189	263.5885543
190	263.5426786
191	263.4764678
192	263.4334871
193	263.3352166
194	263.2970036
195	263.2388804
196	263.1801262
197	263.0984221
198	263.0594286
199	262.9665024
200	262.921423
201	262.9056343
202	262.8332707
203	262.8003626
204	262.7631337
205	262.6681132
206	262.5978695
207	262.5739367
208	262.5116104
209	262.4849185
210	262.4675261
211	262.400098
212	262.3636163
213	262.3394259
214	262.2947969
215	262.2299006
216	262.1666324
217	262.1438367
218	262.1148516
219	262.0424351
220	262.0089168
221	261.9752272
222	261.9190077
223	261.8567124
224	261.8409344
225	261.764063
226	261.7523521
227	261.6840616
228	261.6558334
229	261.6093737
230	261.5423539
231	261.5090072
232	261.4608073
233	261.4170863
234	261.3518186
235	261.3243165
236	261.2707157
237	261.2059532
238	261.1717063
239	261.113167
240	261.0834166
241	261.0517409
242	261.0089736
243	260.9673107
244	260.9302097
245	260.8608004
246	260.8236758
247	260.7937195
248	260.7646874
249	260.7240672
250	260.6820848
251	260.6372673
252	260.6043095
253	260.57571
254	260.5090492
255	260.4551443
256	260.4137498
257	260.3740524
258	260.3459767
259	260.3170064
260	260.2796909
261	260.2432939
262	260.2162737
263	260.1870302
264	260.1535126
265	260.1291249
266	260.1061422
267	260.0751443
268	260.0087317
269	259.9485067
270	259.8938923
271	259.8732917
272	259.8258378
273	259.8007032
274	259.754698
275	259.7300155
276	259.7055735
277	259.6841875
278	259.6410012
279	259.610378
280	259.5915503
281	259.5645404
282	259.5480301
283	259.5225024
284	259.4817764
285	259.4464776
286	259.419558
287	259.4016628
288	259.3801972
289	259.3473367
290	259.3254714
291	259.3005502
292	259.2686
293	259.2315668
294	259.2130407
295	259.1926956
296	259.1771806
297	259.1549571
298	259.1437867
299	259.1163732
300	259.0836518
301	259.0526744
302	259.0245675
303	259.0100831
304	258.9934789
305	258.9829456
306	258.9684257
307	258.9360121
308	258.9146638
309	258.8703647
310	258.8422319
311	258.8289761
312	258.8082392
313	258.7944131
314	258.7716439
315	258.744641
316	258.7157433
317	258.6859996
318	258.6717679
319	258.6516055
320	258.6333507
321	258.6202172
322	258.6038384
323	258.5923791
324	258.5678102
325	258.5500415
326	258.5401512
327	258.5230082
328	258.5072883
329	258.4933111
330	258.4818169
331	258.4563449
332	258.442595
333	258.4293835
334	258.4127443
335	258.3994509
336	258.3576205
337	258.3438112
338	258.3219839
339	258.3068198
340	258.295196
341	258.2821449
342	258.2700886
343	258.2643478
344	258.2565055
345	258.2404117
346	258.2242677
347	258.2000511
348	258.190691
349	258.1754655
350	258.1594354
351	258.1519497
352	258.1406579
353	258.1183794
354	258.1069743
355	258.0918923
356	258.0770394
357	258.0632103
358	258.0463489
359	258.0360195
360	258.0284063
361	258.0042625
362	257.9804965
363	257.9717704
364	257.949641
365	257.9371671
366	257.9224958
367	257.9109678
368	257.8995734
369	257.8785857
370	257.8675073
371	257.8549096
372	257.849714
373	257.8304797
374	257.8232614
375	257.8164278
376	257.8053366
377	257.7957075
378	257.7871448
379	257.7722474
380	257.7647691
381	257.7514439
382	257.744328
383	257.7346893
384	257.724916
385	257.7152438
386	257.6968226
387	257.686512
388	257.6763616
389	257.6674025
390	257.6431566
391	257.6337432
392	257.621803
393	257.6128697
394	257.6035459
395	257.5928853
396	257.5856903
397	257.5749187
398	257.5656294
399	257.5552806
400	257.5368194
401	257.524109
402	257.5176987
403	257.5093039
404	257.5026264
405	257.4911285
406	257.4827474
407	257.4736991
408	257.4670947
409	257.4630176
410	257.4524778
411	257.4374125
412	257.4325652
413	257.4241517
414	257.4114011
415	257.4066465
416	257.4037661
417	257.3964084
418	257.3841672
419	257.3770067
420	257.3565561
421	257.3508847
422	257.3411464
423	257.3378072
424	257.33029
425	257.3219867
426	257.309931
427	257.3057882
428	257.2996363
429	257.2932914
430	257.2902091
431	257.2825395
432	257.2743441
433	257.2646117
434	257.2608452
435	257.2456057
436	257.2361247
437	257.2326154
438	257.2175936
439	257.2110202
440	257.20455
441	257.1936131
442	257.1867548
443	257.1752829
444	257.160397
445	257.1549878
446	257.147975
447	257.1440963
448	257.137622
449	257.1315255
450	257.1246087
451	257.1193463
452	257.1119845
453	257.1046714
454	257.0987131
455	257.0932813
456	257.087364
457	257.0669496
458	257.0638776
459	257.0583461
460	257.0518777
461	257.0364814
462	257.0221749
463	257.016216
464	257.0134282
465	257.0069373
466	257.0001455
467	256.995071
468	256.9887904
469	256.9837549
470	256.9764823
471	256.9710201
472	256.9634431
473	256.9561846
474	256.9411474
475	256.9348091
476	256.928966
477	256.9202952
478	256.9101571
479	256.9060145
480	256.9032222
481	256.8969777
482	256.892587
483	256.8883263
484	256.8796642
485	256.8734197
486	256.8651453
487	256.8554479
488	256.851219
489	256.8443075
490	256.8393344
491	256.837147
492	256.8300801
493	256.8262919
494	256.8200308
495	256.8173741
496	256.8054862
497	256.7993589
498	256.7950327
499	256.7916482
500	256.7896484
501	256.7788056
502	256.7724219
503	256.7645316
504	256.760679
505	256.7519656
506	256.7484217
507	256.7415492
508	256.7369609
509	256.7346033
510	256.7305151
511	256.7185778
512	256.7123171
513	256.707751
514	256.705339
515	256.7020484
516	256.6975465
517	256.6945261
518	256.6903307
519	256.6843362
520	256.6767906
521	256.6608712
522	256.6523152
523	256.6498246
524	256.6414203
525	256.635494
526	256.6320409
527	256.6267321
528	256.6249929
529	256.6213107
530	256.6177002
531	256.6117865
532	256.6055206
533	256.600357
534	256.5927187
535	256.591034
536	256.5857884
537	256.5751293
538	256.5658268
539	256.5598763
540	256.5547428
541	256.5449839
542	256.541416
543	256.5331433
544	256.5299846
545	256.5245464
546	256.5157806
547	256.5107865
548	256.5073081
549	256.5040796
550	256.4948766
551	256.490138
552	256.4865311
553	256.4850153
554	256.4828801
555	256.4751936
556	256.4732287
557	256.4684143
558	256.464135
559	256.4578143
560	256.4534862
561	256.4487391
562	256.4474359
563	256.4375091
564	256.4342593
565	256.4300222
566	256.4258507
567	256.4221197
568	256.4103487
569	256.4075746
570	256.4060344
571	256.3928103
572	256.3890335
573	256.3820926
574	256.3747053
575	256.3717295
576	256.3663824
577	256.3633787
578	256.3607527
579	256.3576188
580	256.3530826
581	256.3479537
582	256.3444345
583	256.3409462
584	256.3378478
585	256.3281568
586	256.3246853
587	256.3234782
588	256.3202974
589	256.3185485
590	256.3156225
591	256.3134414
592	256.310852
593	256.3050416
594	256.3024864
595	256.2998261
596	256.2927842
597	256.2864329
598	256.2819227
599	256.2771517
