iter	Passed	Remaining
0	160	95954
1	172	51616
2	182	36281
3	191	28534
4	198	23637
5	206	20442
6	217	18388
7	231	17134
8	240	15781
9	250	14765
10	260	13932
11	269	13205
12	278	12590
13	288	12087
14	297	11610
15	307	11222
16	316	10865
17	326	10541
18	334	10230
19	346	10049
20	357	9870
21	367	9663
22	376	9447
23	389	9351
24	399	9198
25	410	9063
26	419	8896
27	429	8774
28	439	8658
29	454	8629
30	466	8571
31	477	8471
32	491	8448
33	502	8361
34	511	8264
35	523	8199
36	533	8115
37	543	8037
38	554	7974
39	563	7887
40	572	7807
41	586	7791
42	597	7744
43	608	7686
44	618	7629
45	628	7567
46	637	7495
47	649	7471
48	660	7428
49	671	7385
50	680	7329
51	689	7268
52	697	7203
53	708	7159
54	718	7123
55	730	7094
56	740	7055
57	749	6999
58	757	6946
59	765	6893
60	775	6850
61	785	6815
62	796	6788
63	806	6755
64	815	6708
65	826	6684
66	837	6659
67	847	6633
68	858	6609
69	870	6587
70	881	6565
71	890	6531
72	902	6512
73	915	6507
74	925	6477
75	933	6439
76	944	6415
77	952	6376
78	961	6339
79	971	6314
80	982	6293
81	992	6268
82	1004	6254
83	1015	6236
84	1024	6204
85	1037	6201
86	1050	6193
87	1059	6166
88	1073	6162
89	1083	6139
90	1092	6113
91	1104	6097
92	1115	6078
93	1123	6049
94	1133	6025
95	1142	5997
96	1150	5968
97	1161	5951
98	1170	5924
99	1178	5891
100	1186	5861
101	1195	5835
102	1204	5812
103	1215	5798
104	1225	5778
105	1235	5755
106	1243	5731
107	1252	5706
108	1261	5684
109	1272	5668
110	1283	5655
111	1295	5644
112	1305	5628
113	1314	5602
114	1324	5584
115	1333	5564
116	1345	5553
117	1355	5535
118	1364	5514
119	1376	5506
120	1387	5493
121	1398	5479
122	1431	5550
123	1447	5558
124	1458	5542
125	1470	5530
126	1494	5565
127	1506	5554
128	1521	5554
129	1534	5547
130	1544	5529
131	1554	5511
132	1564	5493
133	1575	5477
134	1587	5469
135	1597	5451
136	1606	5427
137	1616	5410
138	1627	5398
139	1636	5378
140	1649	5369
141	1659	5352
142	1670	5338
143	1681	5325
144	1692	5310
145	1706	5307
146	1716	5291
147	1728	5277
148	1739	5265
149	1751	5253
150	1761	5238
151	1771	5221
152	1779	5198
153	1789	5183
154	1798	5163
155	1807	5143
156	1816	5126
157	1825	5106
158	1833	5086
159	1845	5074
160	1855	5058
161	1863	5038
162	1870	5014
163	1877	4991
164	1885	4971
165	1894	4952
166	1900	4928
167	1910	4912
168	1918	4893
169	1927	4874
170	1939	4865
171	1949	4850
172	1959	4835
173	1968	4819
174	1978	4804
175	1987	4787
176	1997	4772
177	2007	4759
178	2018	4747
179	2027	4731
180	2037	4717
181	2047	4703
182	2058	4690
183	2068	4676
184	2079	4664
185	2088	4648
186	2098	4635
187	2108	4620
188	2117	4604
189	2125	4585
190	2132	4566
191	2144	4556
192	2153	4541
193	2162	4524
194	2171	4510
195	2181	4495
196	2189	4478
197	2200	4467
198	2209	4452
199	2220	4440
200	2227	4421
201	2235	4403
202	2245	4392
203	2255	4378
204	2267	4369
205	2281	4362
206	2290	4347
207	2300	4335
208	2310	4321
209	2320	4309
210	2332	4300
211	2342	4286
212	2350	4271
213	2359	4256
214	2369	4242
215	2379	4230
216	2390	4218
217	2400	4205
218	2409	4192
219	2417	4175
220	2426	4160
221	2437	4151
222	2448	4139
223	2460	4129
224	2469	4116
225	2481	4105
226	2490	4092
227	2499	4078
228	2509	4065
229	2518	4051
230	2528	4038
231	2536	4023
232	2544	4008
233	2553	3993
234	2565	3984
235	2576	3974
236	2588	3965
237	2599	3953
238	2608	3939
239	2617	3926
240	2626	3912
241	2637	3901
242	2649	3891
243	2660	3881
244	2670	3868
245	2679	3855
246	2690	3844
247	2699	3832
248	2710	3820
249	2720	3808
250	2729	3795
251	2739	3782
252	2751	3773
253	2761	3761
254	2771	3749
255	2782	3739
256	2793	3728
257	2803	3716
258	2813	3703
259	2825	3694
260	2835	3682
261	2847	3673
262	2857	3661
263	2868	3650
264	2879	3640
265	2888	3627
266	2898	3614
267	2910	3605
268	2920	3594
269	2930	3582
270	2940	3569
271	2950	3557
272	2960	3545
273	2970	3534
274	2986	3529
275	2996	3517
276	3007	3506
277	3018	3495
278	3031	3487
279	3043	3478
280	3054	3467
281	3064	3456
282	3076	3445
283	3086	3434
284	3097	3423
285	3110	3415
286	3125	3409
287	3139	3400
288	3151	3390
289	3162	3380
290	3179	3375
291	3189	3364
292	3200	3353
293	3210	3342
294	3223	3333
295	3237	3324
296	3247	3313
297	3257	3300
298	3269	3291
299	3280	3280
300	3292	3270
301	3301	3257
302	3312	3246
303	3322	3234
304	3331	3222
305	3342	3211
306	3351	3198
307	3362	3188
308	3374	3177
309	3383	3165
310	3394	3153
311	3408	3146
312	3418	3134
313	3430	3124
314	3442	3114
315	3452	3102
316	3462	3090
317	3471	3078
318	3482	3067
319	3495	3058
320	3505	3046
321	3515	3034
322	3524	3022
323	3535	3011
324	3548	3002
325	3558	2991
326	3567	2978
327	3577	2966
328	3585	2953
329	3600	2946
330	3611	2935
331	3624	2925
332	3634	2914
333	3643	2901
334	3652	2889
335	3661	2876
336	3673	2866
337	3683	2855
338	3693	2843
339	3701	2830
340	3712	2819
341	3721	2807
342	3730	2795
343	3741	2784
344	3751	2773
345	3760	2760
346	3769	2748
347	3781	2738
348	3792	2727
349	3801	2715
350	3811	2703
351	3820	2691
352	3833	2682
353	3844	2671
354	3853	2659
355	3863	2647
356	3873	2636
357	3883	2625
358	3893	2613
359	3903	2602
360	3929	2601
361	3948	2595
362	3958	2584
363	3969	2573
364	3979	2562
365	3996	2555
366	4005	2542
367	4017	2532
368	4026	2520
369	4034	2508
370	4047	2498
371	4058	2487
372	4067	2475
373	4078	2464
374	4087	2452
375	4096	2440
376	4105	2428
377	4114	2416
378	4124	2405
379	4135	2394
380	4144	2382
381	4152	2370
382	4161	2357
383	4171	2346
384	4182	2335
385	4192	2324
386	4202	2313
387	4212	2301
388	4221	2289
389	4229	2277
390	4238	2265
391	4254	2257
392	4267	2247
393	4280	2238
394	4292	2227
395	4304	2217
396	4316	2207
397	4327	2196
398	4337	2185
399	4349	2174
400	4363	2165
401	4377	2155
402	4389	2145
403	4402	2135
404	4412	2124
405	4423	2113
406	4439	2105
407	4452	2095
408	4466	2085
409	4477	2074
410	4487	2063
411	4503	2054
412	4517	2045
413	4527	2033
414	4539	2023
415	4549	2012
416	4559	2000
417	4571	1990
418	4582	1979
419	4595	1969
