date,temple,footfall
2023-01-01,Somnath,6061
2023-01-01,Dwarka,3321
2023-01-01,Ambaji,2800
2023-01-01,Pavagadh,2037
2023-01-02,Somnath,4682
2023-01-02,Dwarka,2755
2023-01-02,Ambaji,2719
2023-01-02,Pavagadh,1948
2023-01-03,Somnath,4685
2023-01-03,Dwarka,2738
2023-01-03,Ambaji,2210
2023-01-03,Pavagadh,1290
2023-01-04,Somnath,4638
2023-01-04,Dwarka,2929
2023-01-04,Ambaji,2419
2023-01-04,Pavagadh,1565
2023-01-05,Somnath,5030
2023-01-05,Dwarka,3046
2023-01-05,Ambaji,2374
2023-01-05,Pavagadh,2071
2023-01-06,Somnath,4732
2023-01-06,Dwarka,3293
2023-01-06,Ambaji,2642
2023-01-06,Pavagadh,2059
2023-01-07,Somnath,7303
2023-01-07,Dwarka,4176
2023-01-07,Ambaji,3716
2023-01-07,Pavagadh,2845
2023-01-08,Somnath,5831
2023-01-08,Dwarka,3733
2023-01-08,Ambaji,2889
2023-01-08,Pavagadh,2587
2023-01-09,Somnath,4768
2023-01-09,Dwarka,2663
2023-01-09,Ambaji,2711
2023-01-09,Pavagadh,1161
2023-01-10,Somnath,5014
2023-01-10,Dwarka,3212
2023-01-10,Ambaji,2998
2023-01-10,Pavagadh,1950
2023-01-11,Somnath,5692
2023-01-11,Dwarka,3438
2023-01-11,Ambaji,2800
2023-01-11,Pavagadh,1977
2023-01-12,Somnath,4271
2023-01-12,Dwarka,2558
2023-01-12,Ambaji,2096
2023-01-12,Pavagadh,1941
2023-01-13,Somnath,5412
2023-01-13,Dwarka,2893
2023-01-13,Ambaji,2644
2023-01-13,Pavagadh,1891
2023-01-14,Somnath,7748
2023-01-14,Dwarka,5185
2023-01-14,Ambaji,3701
2023-01-14,Pavagadh,3187
2023-01-15,Somnath,7690
2023-01-15,Dwarka,4603
2023-01-15,Ambaji,3549
2023-01-15,Pavagadh,2916
2023-01-16,Somnath,4329
2023-01-16,Dwarka,2363
2023-01-16,Ambaji,2042
2023-01-16,Pavagadh,1730
2023-01-17,Somnath,4369
2023-01-17,Dwarka,2749
2023-01-17,Ambaji,2096
2023-01-17,Pavagadh,1733
2023-01-18,Somnath,5825
2023-01-18,Dwarka,3510
2023-01-18,Ambaji,2855
2023-01-18,Pavagadh,2186
2023-01-19,Somnath,4068
2023-01-19,Dwarka,2542
2023-01-19,Ambaji,2150
2023-01-19,Pavagadh,1683
2023-01-20,Somnath,4620
2023-01-20,Dwarka,2919
2023-01-20,Ambaji,2482
2023-01-20,Pavagadh,1377
2023-01-21,Somnath,6815
2023-01-21,Dwarka,3878
2023-01-21,Ambaji,3520
2023-01-21,Pavagadh,2454
2023-01-22,Somnath,6814
2023-01-22,Dwarka,4158
2023-01-22,Ambaji,3343
2023-01-22,Pavagadh,2214
2023-01-23,Somnath,4521
2023-01-23,Dwarka,2562
2023-01-23,Ambaji,2335
2023-01-23,Pavagadh,1878
2023-01-24,Somnath,3882
2023-01-24,Dwarka,2579
2023-01-24,Ambaji,2006
2023-01-24,Pavagadh,1741
2023-01-25,Somnath,4631
2023-01-25,Dwarka,3085
2023-01-25,Ambaji,2851
2023-01-25,Pavagadh,1975
2023-01-26,Somnath,5843
2023-01-26,Dwarka,3505
2023-01-26,Ambaji,2949
2023-01-26,Pavagadh,2249
2023-01-27,Somnath,4723
2023-01-27,Dwarka,2635
2023-01-27,Ambaji,2224
2023-01-27,Pavagadh,1571
2023-01-28,Somnath,6344
2023-01-28,Dwarka,4056
2023-01-28,Ambaji,3172
2023-01-28,Pavagadh,2585
2023-01-29,Somnath,6726
2023-01-29,Dwarka,4298
2023-01-29,Ambaji,3510
2023-01-29,Pavagadh,2889
2023-01-30,Somnath,4523
2023-01-30,Dwarka,2935
2023-01-30,Ambaji,2290
2023-01-30,Pavagadh,1722
2023-01-31,Somnath,4786
2023-01-31,Dwarka,3202
2023-01-31,Ambaji,2426
2023-01-31,Pavagadh,1767
2023-02-01,Somnath,4078
2023-02-01,Dwarka,2819
2023-02-01,Ambaji,2550
2023-02-01,Pavagadh,1570
2023-02-02,Somnath,4731
2023-02-02,Dwarka,2718
2023-02-02,Ambaji,2073
2023-02-02,Pavagadh,1883
2023-02-03,Somnath,4958
2023-02-03,Dwarka,3072
2023-02-03,Ambaji,2534
2023-02-03,Pavagadh,1504
2023-02-04,Somnath,7257
2023-02-04,Dwarka,4914
2023-02-04,Ambaji,3730
2023-02-04,Pavagadh,2854
2023-02-05,Somnath,7230
2023-02-05,Dwarka,4475
2023-02-05,Ambaji,3742
2023-02-05,Pavagadh,2566
2023-02-06,Somnath,4637
2023-02-06,Dwarka,2903
2023-02-06,Ambaji,2416
2023-02-06,Pavagadh,1731
2023-02-07,Somnath,4610
2023-02-07,Dwarka,3203
2023-02-07,Ambaji,2156
2023-02-07,Pavagadh,1629
2023-02-08,Somnath,4643
2023-02-08,Dwarka,2644
2023-02-08,Ambaji,2204
2023-02-08,Pavagadh,1909
2023-02-09,Somnath,4539
2023-02-09,Dwarka,3180
2023-02-09,Ambaji,2328
2023-02-09,Pavagadh,2154
2023-02-10,Somnath,5765
2023-02-10,Dwarka,3527
2023-02-10,Ambaji,2693
2023-02-10,Pavagadh,2151
2023-02-11,Somnath,7953
2023-02-11,Dwarka,4827
2023-02-11,Ambaji,3872
2023-02-11,Pavagadh,2832
2023-02-12,Somnath,6903
2023-02-12,Dwarka,4359
2023-02-12,Ambaji,3507
2023-02-12,Pavagadh,2718
2023-02-13,Somnath,4372
2023-02-13,Dwarka,2742
2023-02-13,Ambaji,2239
2023-02-13,Pavagadh,1452
2023-02-14,Somnath,4539
2023-02-14,Dwarka,2726
2023-02-14,Ambaji,1974
2023-02-14,Pavagadh,1776
2023-02-15,Somnath,5565
2023-02-15,Dwarka,3105
2023-02-15,Ambaji,2630
2023-02-15,Pavagadh,2025
2023-02-16,Somnath,4863
2023-02-16,Dwarka,3110
2023-02-16,Ambaji,2398
2023-02-16,Pavagadh,1782
2023-02-17,Somnath,4876
2023-02-17,Dwarka,3411
2023-02-17,Ambaji,2306
2023-02-17,Pavagadh,1755
2023-02-18,Somnath,6567
2023-02-18,Dwarka,4264
2023-02-18,Ambaji,3320
2023-02-18,Pavagadh,2632
2023-02-19,Somnath,6556
2023-02-19,Dwarka,3911
2023-02-19,Ambaji,3238
2023-02-19,Pavagadh,2268
2023-02-20,Somnath,4431
2023-02-20,Dwarka,2938
2023-02-20,Ambaji,2375
