temple,date,day_of_week,is_weekend,month,is_monsoon,time_slot,festival_multiplier,days_to_nearest_festival,footfall
Somnath,2022-01-01,5,1,1,0,Morning 6-9,1.0,59,1017
Somnath,2022-01-01,5,1,1,0,Afternoon 10-1,1.0,59,1458
Somnath,2022-01-01,5,1,1,0,Evening 4-7,1.0,59,1865
Somnath,2022-01-01,5,1,1,0,Night 8-11,1.0,59,809
Dwarka,2022-01-01,5,1,1,0,Morning 6-9,1.0,76,1220
Dwarka,2022-01-01,5,1,1,0,Afternoon 10-1,1.0,76,1794
Dwarka,2022-01-01,5,1,1,0,Evening 4-7,1.0,76,2388
Dwarka,2022-01-01,5,1,1,0,Night 8-11,1.0,76,971
Ambaji,2022-01-01,5,1,1,0,Morning 6-9,1.0,91,863
Ambaji,2022-01-01,5,1,1,0,Afternoon 10-1,1.0,91,1322
Ambaji,2022-01-01,5,1,1,0,Evening 4-7,1.0,91,1575
Ambaji,2022-01-01,5,1,1,0,Night 8-11,1.0,91,660
Pavagadh,2022-01-01,5,1,1,0,Morning 6-9,1.0,91,1480
Pavagadh,2022-01-01,5,1,1,0,Afternoon 10-1,1.0,91,1991
Pavagadh,2022-01-01,5,1,1,0,Evening 4-7,1.0,91,2489
Pavagadh,2022-01-01,5,1,1,0,Night 8-11,1.0,91,1096
Somnath,2022-01-02,6,1,1,0,Morning 6-9,1.0,58,957
Somnath,2022-01-02,6,1,1,0,Afternoon 10-1,1.0,58,1485
Somnath,2022-01-02,6,1,1,0,Evening 4-7,1.0,58,1752
Somnath,2022-01-02,6,1,1,0,Night 8-11,1.0,58,719
Dwarka,2022-01-02,6,1,1,0,Morning 6-9,1.0,75,1304
Dwarka,2022-01-02,6,1,1,0,Afternoon 10-1,1.0,75,1795
Dwarka,2022-01-02,6,1,1,0,Evening 4-7,1.0,75,2252
Dwarka,2022-01-02,6,1,1,0,Night 8-11,1.0,75,888
Ambaji,2022-01-02,6,1,1,0,Morning 6-9,1.0,90,861
Ambaji,2022-01-02,6,1,1,0,Afternoon 10-1,1.0,90,1299
Ambaji,2022-01-02,6,1,1,0,Evening 4-7,1.0,90,1530
Ambaji,2022-01-02,6,1,1,0,Night 8-11,1.0,90,683
Pavagadh,2022-01-02,6,1,1,0,Morning 6-9,1.9,90,2719
Pavagadh,2022-01-02,6,1,1,0,Afternoon 10-1,1.9,90,4049
Pavagadh,2022-01-02,6,1,1,0,Evening 4-7,1.9,90,4958
Pavagadh,2022-01-02,6,1,1,0,Night 8-11,1.9,90,2288
Somnath,2022-01-03,0,0,1,0,Morning 6-9,1.0,57,722
Somnath,2022-01-03,0,0,1,0,Afternoon 10-1,1.0,57,1018
Somnath,2022-01-03,0,0,1,0,Evening 4-7,1.0,57,1361
Somnath,2022-01-03,0,0,1,0,Night 8-11,1.0,57,526
Dwarka,2022-01-03,0,0,1,0,Morning 6-9,1.0,74,900
Dwarka,2022-01-03,0,0,1,0,Afternoon 10-1,1.0,74,1210
Dwarka,2022-01-03,0,0,1,0,Evening 4-7,1.0,74,1541
Dwarka,2022-01-03,0,0,1,0,Night 8-11,1.0,74,688
Ambaji,2022-01-03,0,0,1,0,Morning 6-9,1.0,89,656
Ambaji,2022-01-03,0,0,1,0,Afternoon 10-1,1.0,89,944
Ambaji,2022-01-03,0,0,1,0,Evening 4-7,1.0,89,1157
Ambaji,2022-01-03,0,0,1,0,Night 8-11,1.0,89,482
