iter	RMSE
0	912.2376716
1	872.3927857
2	834.2096054
3	798.1376034
4	764.2289012
5	731.7307262
6	701.3457988
7	672.6134969
8	644.6481555
9	619.1069526
10	594.2885192
11	570.8653594
12	549.3810152
13	527.3763724
14	508.0761686
15	488.5372661
16	470.3391372
17	452.7635823
18	435.5594462
19	419.7995562
20	404.1756804
21	389.5588347
22	375.4978222
23	362.0525766
24	349.0838845
25	337.496408
26	325.550063
27	314.337029
28	304.119088
29	294.0427913
30	283.8178546
31	274.8839423
32	266.006921
33	257.8199633
34	250.2100057
35	241.9767102
36	234.7584494
37	227.666634
38	220.4059485
39	213.5760547
40	206.5854101
41	200.0766039
42	193.9867828
43	188.4454466
44	182.4717703
45	176.9519577
46	171.9900877
47	166.8441584
48	162.196162
49	157.6825933
50	153.7366934
51	149.3795302
52	145.3347099
53	141.5812821
54	138.0457886
55	134.7228122
56	131.3350076
57	128.0524393
58	125.1765291
59	122.4775036
60	119.9130528
61	117.3421352
62	114.8636728
63	112.6355392
64	110.4987561
65	108.459058
66	106.2904755
67	104.2839662
68	102.5367921
69	100.8555686
70	98.99294862
71	97.52666919
72	96.12878639
73	94.78765237
74	93.28730499
75	91.93901313
76	90.68662097
77	89.5195302
78	88.49948982
79	87.54138629
80	86.63027967
81	85.79729935
82	85.03040109
83	84.19950381
84	83.48619402
85	82.72166154
86	81.95577755
87	81.15344697
88	80.59664092
89	80.08508745
90	79.63334052
91	79.04607578
92	78.35390186
93	77.85646959
94	77.3385497
95	76.80501088
96	76.31275244
97	75.98229513
98	75.49902976
99	75.09228969
100	74.7822866
101	74.44044519
102	74.10680346
103	73.7580582
104	73.51995874
105	73.22120262
106	72.96216916
107	72.65706084
108	72.37669212
109	72.15083939
110	71.90982331
111	71.72394595
112	71.49100489
113	71.31873657
114	71.10144924
115	70.9500975
116	70.69186032
117	70.54304009
118	70.38893232
119	70.25337113
120	70.11404004
121	69.98678439
122	69.85346003
123	69.72743734
124	69.59718163
125	69.39270733
126	69.23915554
127	69.11252039
128	69.00736215
129	68.90861448
130	68.73198307
131	68.65393958
132	68.53795349
133	68.39237142
134	68.27762067
135	68.22499749
136	68.14436969
137	68.03672243
138	67.94208653
139	67.84772542
140	67.70689124
141	67.58521126
142	67.5042021
143	67.43831966
144	67.3947703
145	67.31048235
146	67.22637403
147	67.14445493
148	67.0727728
149	67.00577939
150	66.96229828
151	66.89388351
152	66.84937227
