iter	Passed	Remaining
0	171	85708
1	188	46992
2	198	32869
3	210	26130
4	222	22039
5	235	19429
6	243	17168
7	252	15501
8	261	14248
9	269	13215
10	278	12380
11	286	11642
12	295	11062
13	306	10635
14	317	10271
15	330	9990
16	339	9636
17	347	9302
18	357	9038
19	365	8768
20	374	8541
21	382	8317
22	389	8082
23	397	7890
24	406	7720
25	416	7599
26	429	7522
27	442	7463
28	453	7372
29	460	7222
30	469	7101
31	476	6971
32	484	6854
33	491	6734
34	499	6633
35	509	6566
36	516	6465
37	524	6371
38	531	6281
39	539	6199
40	546	6115
41	556	6063
42	564	5994
43	573	5942
44	585	5920
45	593	5861
46	603	5818
47	611	5755
48	618	5693
49	626	5641
50	634	5589
51	642	5531
52	649	5480
53	657	5427
54	665	5382
55	673	5336
56	681	5296
57	689	5255
58	698	5220
59	706	5184
60	715	5147
61	722	5104
62	730	5069
63	738	5029
64	746	4994
65	753	4955
66	763	4935
67	771	4899
68	778	4862
69	815	5006
70	822	4970
71	832	4947
72	842	4926
73	891	5130
74	902	5116
75	912	5088
76	920	5059
77	928	5023
78	936	4991
79	946	4968
80	954	4936
81	962	4904
82	972	4885
83	980	4857
84	1018	4972
85	1030	4959
86	1039	4933
87	1046	4897
88	1054	4869
89	1061	4836
90	1070	4810
91	1087	4821
92	1113	4874
93	1139	4920
94	1164	4964
95	1176	4951
96	1189	4943
97	1199	4920
98	1207	4889
99	1214	4856
100	1221	4826
101	1261	4921
102	1307	5037
103	1324	5042
104	1336	5026
105	1346	5004
106	1354	4975
107	1361	4943
108	1370	4915
109	1400	4964
110	1429	5010
111	1461	5063
112	1471	5040
113	1483	5022
114	1492	4998
115	1501	4970
116	1509	4941
117	1517	4911
118	1535	4917
119	1566	4959
120	1593	4991
121	1622	5027
122	1648	5052
123	1668	5058
124	1677	5031
125	1686	5004
126	1695	4979
127	1716	4989
128	1753	5042
129	1788	5089
130	1796	5061
131	1805	5032
132	1814	5005
133	1821	4976
134	1829	4946
135	1837	4919
136	1853	4910
137	1878	4927
138	1901	4939
139	1953	5022
140	1967	5009
141	1979	4990
142	1988	4963
143	2008	4965
144	2032	4975
145	2070	5019
146	2084	5006
147	2096	4987
148	2111	4973
149	2121	4949
150	2129	4920
151	2137	4894
152	2156	4890
153	2213	4973
154	2286	5088
155	2316	5107
156	2324	5078
157	2333	5051
158	2341	5020
159	2442	5189
160	2452	5163
161	2467	5148
162	2476	5119
163	2484	5089
164	2494	5064
165	2519	5069
166	2538	5062
167	2568	5076
168	2582	5058
169	2590	5029
170	2598	4999
171	2607	4972
172	2615	4943
173	2622	4914
174	2629	4883
175	2641	4861
176	2665	4863
177	2689	4864
178	2749	4929
179	2760	4906
180	2770	4882
181	2778	4855
182	2786	4827
183	2794	4798
184	2802	4772
185	2813	4750
186	2935	4913
187	2945	4888
188	2956	4864
189	3098	5056
190	3118	5044
191	3128	5018
192	3136	4989
193	3250	5126
194	3351	5241
195	3361	5213
196	3371	5185
197	3477	5304
198	3495	5287
199	3506	5259
200	3521	5238
201	3627	5351
202	3640	5326
203	3669	5324
204	3697	5320
205	3720	5309
206	3753	5312
207	3763	5283
208	3771	5251
209	3779	5219
210	3786	5186
211	3801	5164
212	3836	5169
213	3860	5158
214	3882	5146
215	3893	5118
216	3903	5091
217	3915	5065
218	3924	5035
219	3932	5004
220	3952	4989
221	3982	4987
222	4019	4993
223	4068	5012
224	4091	5000
225	4102	4973
226	4111	4944
227	4127	4924
228	4148	4909
229	4217	4951
230	4265	4967
231	4276	4939
232	4284	4909
233	4291	4878
234	4300	4849
235	4307	4819
236	4316	4790
237	4331	4768
238	4369	4772
239	4396	4763
240	4412	4742
241	4431	4724
242	4442	4698
243	4449	4667
244	4457	4639
245	4466	4611
246	4488	4597
247	4510	4583
248	4536	4573
249	4556	4556
250	4566	4529
251	4574	4501
252	4584	4475
253	4591	4447
254	4600	4419
255	4608	4392
256	4623	4371
257	4645	4357
258	4673	4348
259	4710	4348
260	4734	4335
261	4743	4309
262	4752	4282
263	4759	4254
264	4780	4239
265	4801	4223
266	4823	4209
267	4848	4197
268	4857	4171
269	4866	4145
270	4878	4122
271	4915	4120
272	4944	4111
273	5002	4126
274	5022	4109
275	5033	4085
276	5040	4058
277	5050	4032
278	5095	4036
279	5116	4019
280	5152	4015
281	5160	3989
282	5171	3965
283	5192	3949
284	5228	3944
285	5256	3933
286	5269	3910
287	5278	3885
288	5295	3866
289	5363	3883
290	5417	3890
291	5549	3952
292	5680	4013
293	5731	4016
294	5767	4007
295	5798	3996
296	5812	3973
297	5828	3950
298	5842	3927
299	5850	3900
300	5857	3872
301	5863	3844
302	5888	3828
303	5919	3816
304	5945	3801
305	5976	3789
306	5988	3764
307	5996	3738
308	6004	3711
309	6012	3685
310	6046	3674
311	6071	3658
312	6101	3645
313	6121	3626
314	6138	3604
315	6160	3587
316	6195	3576
317	6217	3558
318	6227	3533
319	6237	3508
320	6252	3486
321	6294	3479
322	6328	3468
323	6345	3446
324	6356	3422
325	6364	3397
326	6372	3371
327	6380	3345
328	6386	3319
329	6401	3297
330	6428	3282
331	6456	3266
332	6484	3252
333	6514	3237
334	6524	3213
335	6532	3188
336	6540	3163
337	6548	3138
338	6556	3113
339	6562	3088
340	6576	3066
341	6604	3051
342	6629	3034
343	6654	3017
344	6663	2993
345	6671	2969
346	6681	2946
347	6689	2921
348	6697	2897
349	6706	2874
350	6716	2850
351	6734	2831
352	6756	2813
353	6784	2798
354	6806	2779
355	6819	2758
356	6830	2736
357	6838	2712
358	6846	2689
359	6854	2665
360	6874	2646
361	6896	2629
362	6923	2612
363	6946	2595
364	6957	2573
365	6968	2551
366	6982	2530
367	7017	2517
368	7042	2500
369	7067	2483
370	7080	2461
371	7089	2439
372	7099	2417
373	7107	2394
374	7114	2371
375	7124	2349
376	7172	2339
377	7206	2325
378	7226	2307
379	7234	2284
380	7241	2261
381	7248	2239
382	7255	2216
383	7262	2193
384	7273	2172
385	7293	2154
386	7323	2138
387	7349	2121
388	7366	2101
389	7374	2080
390	7383	2058
391	7391	2036
392	7400	2014
393	7407	1992
394	7419	1972
395	7440	1954
396	7474	1939
397	7505	1923
398	7516	1902
399	7530	1882
400	7556	1865
401	7587	1849
402	7623	1835
403	7650	1817
404	7661	1797
405	7669	1775
406	7676	1754
407	7695	1735
408	7728	1719
409	7758	1703
410	7772	1683
411	7782	1662
412	7791	1641
413	7798	1619
414	7807	1599
415	7816	1578
416	7824	1557
417	7846	1539
418	7876	1522
419	7899	1504
420	7919	1486
421	7930	1465
422	7939	1445
423	7958	1426
424	7999	1411
425	8038	1396
426	8048	1375
427	8054	1355
428	8063	1334
429	8083	1315
430	8112	1298
431	8138	1281
432	8154	1261
433	8164	1241
434	8172	1221
435	8181	1200
436	8201	1182
437	8258	1168
438	8277	1150
439	8289	1130
440	8299	1110
441	8307	1090
442	8314	1069
443	8321	1049
444	8336	1030
445	8362	1012
446	8390	994
447	8415	976
448	8445	959
449	8457	939
450	8467	919
451	8481	900
452	8516	883
453	8546	865
454	8564	847
455	8576	827
456	8584	807
457	8597	788
458	8620	769
459	8640	751
460	8670	733
461	8684	714
462	8697	695
463	8714	676
464	8723	656
465	8729	636
466	8741	617
467	8763	599
468	8793	581
469	8825	563
470	8851	544
471	8861	525
472	8873	506
473	8884	487
474	8907	468
475	8934	450
476	8970	432
477	8981	413
478	8990	394
479	8999	374
480	9007	355
481	9015	336
482	9022	317
483	9034	298
484	9059	280
485	9085	261
486	9104	243
487	9127	224
488	9139	205
489	9153	186
490	9176	168
491	9205	149
492	9232	131
493	9261	112
494	9272	93
495	9282	74
496	9293	56
497	9301	37
498	9308	18
499	9316	0
